,Duration (in seconds),Gender,Age,Location,Education,Triplet,Complexity,Condition,P(A1),P(A2),P(A3),P(¬A1),P(¬A2),P(¬A3),P(A2|A1),P(A2|¬A1),P(¬A2|A1),P(¬A2|¬A1),P(A1 ∩ A2),P(A1 ∩ ¬A2),P(¬A1 ∩ A2),P(¬A1 ∩ ¬A2),P(A1 ∪ A2),P(A1 ∪ ¬A2),P(¬A1 ∪ A2),P(¬A1 ∪ ¬A2),P(A3|A2),P(A3|¬A2),P(¬A3|A2),P(¬A3|¬A2),P(A2 ∩ A3),P(A2 ∩ ¬A3),P(¬A2 ∩ A3),P(¬A2 ∩ ¬A3),P(A2 ∪ A3),P(A2 ∪ ¬A3),P(¬A2 ∪ A3),P(¬A2 ∪ ¬A3),P(A1|A3),P(A1|¬A3),P(¬A1|A3),P(¬A1|¬A3),P(A3 ∩ A1),P(A3 ∩ ¬A1),P(¬A3 ∩ A1),P(¬A3 ∩ ¬A1),P(A3 ∪ A1),P(A3 ∪ ¬A1),P(¬A3 ∪ A1),P(¬A3 ∪ ¬A1),P(A1|A2),P(¬A1|A2),P(A1|¬A2),P(¬A1|¬A2),P(A2 ∩ A1),P(¬A2 ∩ A1),P(A2 ∩ ¬A1),P(¬A2 ∩ ¬A1),P(A2 ∪ A1),P(¬A2 ∪ A1),P(A2 ∪ ¬A1),P(¬A2 ∪ ¬A1),P(A2|A3),P(¬A2|A3),P(A2|¬A3),P(¬A2|¬A3),P(A3 ∩ A2),P(¬A3 ∩ A2),P(A3 ∩ ¬A2),P(¬A3 ∩ ¬A2),P(A3 ∪ A2),P(¬A3 ∪ A2),P(A3 ∪ ¬A2),P(¬A3 ∪ ¬A2),P(A3|A1),P(¬A3|A1),P(A3|¬A1),P(¬A3|¬A1),P(A1 ∩ A3),P(¬A1 ∩ A3),P(A1 ∩ ¬A3),P(¬A1 ∩ ¬A3),P(A1 ∪ A3),P(¬A1 ∪ A3),P(A1 ∪ ¬A3),P(¬A1 ∪ ¬A3),CRT Score,Pay,A1,A2,A3
212,1726,Male,45-54,California,Sophomore (2 years of college),1,High,T1 HC,25,5,30,75,95,70,10,5,90,95,2,30,4,75,40,96,60,98,60,30,60,70,2,4,30,60,35,70,97,98,40,25,70,75,20,40,40,60,40,75,80,85,70,55,30,70,2,40,3,80,40,97,65,98,5,95,3,97,3,3,93,70,30,70,96,98,40,55,20,75,20,45,50,55,45,80,75,90,3,About right,Ohio,Michigan,Missouri
213,333,Female,35-44,California,Senior (4 years of college),1,High,T1 HC,83,77,83,84,79,77,82,76,78,76,76,79,83,77,81,72,70,75,82,83,76,78,84,80,84,83,83,75,79,84,81,78,84,84,76,78,81,77,77,78,79,82,82,78,82,80,83,78,82,84,78,84,80,84,80,82,79,82,79,84,80,80,84,78,79,73,78,84,78,82,79,79,82,80,80,76,77,83,0,About right,Ohio,Michigan,Missouri
214,947,Male,25-34,Texas,High School,1,High,T1 HC,45,50,55,50,50,50,60,40,45,61,50,46,50,50,42,56,50,56,62,40,62,50,50,50,50,55,50,48,50,68,50,46,42,40,43,50,57,55,50,50,50,60,50,50,50,61,46,50,50,58,48,50,50,57,55,53,50,60,50,50,50,56,46,50,55,57,50,50,46,59,50,54,50,57,50,50,50,60,0,About right,Ohio,Michigan,Missouri
215,324,Male,25-34,South Dakota,Senior (4 years of college),1,High,T1 HC,0,0,0,100,100,100,0,0,100,100,0,50,50,100,0,50,50,100,0,0,100,100,0,50,50,100,0,50,50,100,0,0,100,100,50,50,50,100,0,50,50,100,0,100,0,100,0,0,100,100,0,0,100,100,0,100,0,100,0,0,100,100,0,0,100,100,0,100,0,100,0,0,100,100,0,0,100,100,1,About right,Ohio,Michigan,Missouri
216,403,Female,35-44,Georgia,Senior (4 years of college),1,High,T1 HC,46,26,45,50,60,55,45,41,55,44,59,56,42,57,43,54,44,56,45,44,55,56,42,53,42,58,41,54,44,62,44,41,56,57,44,58,45,56,46,96,50,59,43,55,45,55,46,45,59,57,47,54,47,45,41,56,43,56,43,52,54,57,44,52,54,58,46,54,42,57,44,55,57,56,44,54,53,45,0,About right,Ohio,Michigan,Missouri
217,309,Male,35-44,Tennessee,Senior (4 years of college),1,High,T1 HC,53,49,51,47,50,50,51,47,50,48,45,49,47,49,52,51,46,52,54,51,44,47,48,48,50,49,52,51,52,46,51,51,45,52,47,47,49,46,51,51,54,48,51,49,51,47,53,52,53,46,58,53,51,46,55,48,48,46,54,49,49,46,51,51,44,46,55,52,51,50,51,55,53,46,55,52,49,54,1,Fairly generous,Ohio,Michigan,Missouri
218,420,Male,25-34,Missouri,Sophomore (2 years of college),1,High,T1 HC,48,48,98,51,52,3,48,48,52,52,25,33,29,50,28,81,16,100,95,95,3,3,38,1,74,1,100,1,100,50,48,48,52,52,34,70,1,1,100,100,1,1,24,52,22,83,23,27,55,78,15,21,85,81,23,51,26,95,25,1,96,1,99,1,86,68,96,1,96,1,36,93,1,1,99,95,1,80,3,About right,Ohio,Michigan,Missouri
219,517,Male,55-64,Rhode Island,Masters,1,High,T1 HC,59,73,98,21,43,0,100,100,99,52,69,32,47,44,94,47,49,31,39,100,98,47,79,35,57,24,100,42,45,34,60,53,66,53,84,36,0,47,91,45,32,39,100,18,63,45,99,41,43,4,100,100,100,16,100,47,46,47,86,12,34,23,100,100,98,24,80,13,63,35,99,44,24,28,100,100,100,0,1,Inadequate,Ohio,Michigan,Missouri
220,527,Female,25-34,Michigan,High School,1,High,T1 HC,61,76,69,45,68,58,35,38,77,66,76,34,30,34,71,71,38,77,28,30,25,66,68,28,62,65,70,61,72,77,64,66,40,36,64,31,37,53,36,34,68,67,72,29,74,70,66,66,65,72,40,33,36,37,72,32,71,71,62,72,73,41,31,29,69,32,76,65,71,70,69,69,66,28,33,36,67,34,2,About right,Ohio,Michigan,Missouri
221,387,Female,55-64,South Carolina,High School,1,High,T1 HC,40,56,43,64,45,65,49,52,52,51,50,51,57,48,76,44,73,85,49,51,49,51,66,54,45,50,77,75,37,75,53,46,49,51,58,50,51,57,81,63,58,69,69,56,72,45,66,41,51,47,85,58,76,83,61,56,58,49,65,62,42,48,63,56,64,62,55,52,54,54,59,54,64,49,57,68,56,55,3,Fairly generous,Ohio,Michigan,Missouri
